ID_Name_Surname_CorporateMail_Position
101 Vladimir Smith VSmith@mypy.ru GD4
103 Andrey Kulik AKulik@mypy.ru FD3
104 Igor Goodman IGoodman@mypy.ru FD2
105 Sergei Planton SPlanton@mypy.ru FD1
106 Anna Smith ASmith@mypy.ru PD3
107 John Grishko JGrishko@mypy.ru PD3
108 Vladimir Parsival VParsival@mypy.ru PD2
109 Vladimir Chong VChong@mypy.ru PD1
110 Anna Grishko AGrishko@mypy.ru SD3
111 Olga Kulik OKulik@mypy.ru SD3
112 Alex Kulik AKulik@mypy.ru SD2
113 Maria Clinton MClinton@mypy.ru SD1
114 Sergei Sivko SSivko@mypy.ru MD3
115 Maria Harrison MHarrison@mypy.ru MD3
116 Elis Petrov EPetrov@mypy.ru MD2
117 Tom Ray TRay@mypy.ru MD1
118 Sergei Grant SGrant@mypy.ru HRD3
119 Alex Morris AMorris@mypy.ru HRD3
120 Anna Smith ASmith@mypy.ru HRD2
121 Alex Sivko ASivko@mypy.ru HRD1
122 Test Employee TEmployee@mypy.ru SD3
